20:0:27.631,-1,-1,-1,0.518132,0.304116,2646.143555,0.520094,0.344527,2621.142822,0.519327,0.459958,2630.241211,0.519047,0.528738,2591.986328,0.519901,0.373500,2623.420654,0.565522,0.378046,2608.174316,0.580083,0.471793,2607.193604,0.591595,0.545777,2500.415039,0.594017,0.561338,2479.059326,-1,-1,-1,0.519901,0.373500,2623.420654,0.474900,0.378706,2619.620117,0.459756,0.471701,2608.084961,0.449432,0.546302,2505.799805,0.447265,0.561959,2485.342773,-1,-1,-1,0.546601,0.536083,2589.558350,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.491624,0.535356,2602.810303,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.662,-1,-1,-1,0.517634,0.300003,2626.579590,0.518983,0.341731,2611.041016,0.519964,0.457374,2624.786621,0.521227,0.526220,2585.992432,0.519230,0.370861,2614.489990,0.564621,0.375137,2603.459717,0.580485,0.467944,2588.166992,0.591364,0.546024,2496.666748,0.593636,0.562332,2478.366699,-1,-1,-1,0.519230,0.370861,2614.489990,0.474343,0.377271,2605.392334,0.457413,0.469734,2594.840576,0.446592,0.546380,2496.156982,0.444324,0.562443,2476.420166,-1,-1,-1,0.548655,0.532027,2579.131592,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.493787,0.532092,2586.162598,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.695,-1,-1,-1,0.516830,0.296868,2616.739502,0.518017,0.339110,2603.415771,0.520303,0.454620,2618.758789,0.522327,0.523466,2578.483398,0.518595,0.368334,2607.280518,0.563695,0.372628,2597.645264,0.579708,0.465133,2579.254883,0.590396,0.544237,2483.760986,0.592633,0.560793,2464.662109,-1,-1,-1,0.518595,0.368334,2607.280518,0.473763,0.375562,2595.604004,0.456738,0.467507,2570.199219,0.445149,0.545079,2465.105469,0.442711,0.561394,2444.086670,-1,-1,-1,0.550104,0.529111,2572.515869,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.494553,0.529672,2574.645508,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.725,-1,-1,-1,0.516451,0.294703,2606.420654,0.517346,0.337526,2594.575439,0.520636,0.453023,2608.559570,0.522852,0.520732,2568.708008,0.518180,0.366829,2598.109131,0.563196,0.371048,2584.582031,0.578249,0.463883,2566.734375,0.587871,0.542675,2460.043701,0.589896,0.559261,2438.705566,-1,-1,-1,0.518180,0.366829,2598.109131,0.473540,0.374705,2577.199219,0.456349,0.466713,2548.945068,0.443721,0.546797,2451.378418,0.441074,0.563585,2431.864990,-1,-1,-1,0.550102,0.530916,2558.591064,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.495537,0.529768,2555.743164,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.758,-1,-1,-1,0.516385,0.293235,2597.227051,0.517299,0.336386,2584.112793,0.520881,0.452009,2592.326172,0.522925,0.519091,2553.222656,0.518208,0.365748,2586.193604,0.563102,0.370750,2582.363037,0.577633,0.463234,2552.911865,0.586269,0.541579,2437.316895,0.588095,0.558148,2414.197998,-1,-1,-1,0.518208,0.365748,2586.193604,0.473308,0.374163,2572.331543,0.456273,0.465569,2531.609619,0.443216,0.544981,2423.357422,0.440464,0.561723,2401.707031,-1,-1,-1,0.550361,0.529895,2539.870605,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.495710,0.529619,2539.034668,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.790,-1,-1,-1,0.516415,0.292333,2586.519775,0.517358,0.335465,2572.715820,0.521008,0.451188,2579.958740,0.522925,0.517693,2541.689697,0.518288,0.364946,2574.557129,0.563427,0.369891,2563.363037,0.578541,0.462548,2530.625732,0.587472,0.543353,2424.016602,0.589354,0.560375,2402.694824,-1,-1,-1,0.518288,0.364946,2574.557129,0.473481,0.372702,2545.388916,0.456141,0.465474,2516.070313,0.442745,0.545366,2406.862061,0.439919,0.562222,2385.020508,-1,-1,-1,0.551271,0.529161,2530.715332,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.494994,0.529767,2530.504639,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.823,-1,-1,-1,0.516484,0.292023,2576.457520,0.517446,0.334645,2561.261963,0.521117,0.450434,2567.388428,0.522981,0.517972,2529.295410,0.518385,0.364246,2562.825439,0.563567,0.369813,2561.016113,0.579015,0.462002,2521.759521,0.587224,0.543265,2415.446533,0.588953,0.560383,2394.183838,-1,-1,-1,0.518385,0.364246,2562.825439,0.473364,0.372557,2537.478027,0.456163,0.465489,2506.240479,0.442492,0.545755,2397.316650,0.439608,0.562692,2375.531982,-1,-1,-1,0.552040,0.528439,2514.072266,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.494410,0.529983,2520.479492,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.854,-1,-1,-1,0.517296,0.292258,2569.837646,0.517542,0.333877,2550.037109,0.521224,0.449779,2554.747070,0.523063,0.518286,2517.832520,0.518486,0.363592,2551.242920,0.564150,0.367990,2531.124023,0.579729,0.462670,2518.947998,0.587689,0.542874,2403.930908,0.589373,0.559844,2380.927490,-1,-1,-1,0.518486,0.363592,2551.242920,0.473460,0.372505,2527.930908,0.456093,0.465649,2490.739502,0.442017,0.547394,2385.958496,0.439052,0.564612,2365.002197,-1,-1,-1,0.551996,0.528641,2505.172607,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.494782,0.530376,2504.460938,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.885,-1,-1,-1,0.519227,0.291024,2550.554199,0.517725,0.333041,2537.560547,0.521495,0.449215,2546.289551,0.523143,0.518458,2510.269531,0.518695,0.362948,2539.802002,0.564603,0.367515,2528.717285,0.580876,0.462292,2509.047363,0.588120,0.543188,2394.327637,0.589653,0.560307,2371.383789,-1,-1,-1,0.518695,0.362948,2539.802002,0.473533,0.372660,2523.669434,0.456099,0.466025,2481.109131,0.441701,0.546754,2367.383057,0.438653,0.563839,2344.637939,-1,-1,-1,0.551982,0.528551,2497.782471,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.494933,0.530697,2500.590576,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:0:27.917,-1,-1,-1,0.520648,0.290632,2538.497070,0.518378,0.332323,2526.538086,0.521699,0.448785,2539.776123,0.523202,0.518608,2504.404785,0.519236,0.362415,2529.945313,0.565285,0.367325,2523.835693,0.582532,0.462219,2499.309326,0.588748,0.544319,2389.116699,0.590061,0.561656,2367.078125,-1,-1,-1,0.519236,0.362415,2529.945313,0.473950,0.372201,2516.758789,0.456122,0.465657,2468.157227,0.441482,0.546369,2352.404541,0.438380,0.563474,2329.253906,-1,-1,-1,0.551983,0.528507,2491.931396,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.494984,0.530685,2498.660889,-1,-1,-1,-1,-1,-1,-1,-1,-1
